title,budget,revenue,popularity,release_date,imdb_score,runtime,genres
La Haine,3000000.0,0.0,12.108196,1995-05-31,,,
Shopping,0.0,0.0,2.657647,1994-12-06,,,
Heidi Fleiss: Hollywood Madam,0.0,0.0,0.638211,1995-12-27,,,
City Hall,0.0,0.0,4.807223,1996-02-16,,,
Bottle Rocket,7000000.0,560069.0,6.904831,1996-02-21,,,
Mr. Wrong,0.0,0.0,3.329264,1996-02-16,,,
Unforgettable,18000000.0,0.0,2.464425,1996-02-23,,,
Happy Gilmore,12000000.0,41205099.0,9.592265,1996-02-16,7.0,92.0,
The Bridges of Madison County,24000000.0,182016617.0,5.951077,1995-05-28,,,
Nobody Loves Me,0.0,0.0,1.015068,1994-11-07,,,
Muppet Treasure Island,0.0,34327391.0,6.902423,1996-02-16,,,
Catwalk,0.0,0.0,0.976707,1995-12-08,,,
Headless Body in Topless Bar,0.0,0.0,0.001346,1995-05-20,,,
Braveheart,72000000.0,210000000.0,20.755149,1995-05-24,,,
Taxi Driver,1300000.0,28262574.0,14.092713,1976-02-07,8.3,113.0,
Taxi Driver,1300000.0,28262574.0,14.092713,1976-02-07,6.0,100.0,
Rumble in the Bronx,7500000.0,32392047.0,12.314278,1995-01-30,,,
Before and After,35000000.0,0.0,2.938293,1996-02-23,,,
Margaret's Museum,0.0,0.0,0.372697,1995-09-13,,,
Happiness Is in the Field,13365000.0,0.0,1.254885,1995-01-31,,,
Anne Frank Remembered,0.0,1.0,0.243986,1995-06-08,,,
The Young Poisoner's Handbook,0.0,0.0,6.178497,1995-01-20,,,
If Lucy Fell,0.0,0.0,2.891918,1996-03-08,,,
Steal Big Steal Little,25000000.0,6278139.0,1.522412,1995-09-29,,,
Race the Sun,0.0,0.0,1.317878,1996-03-22,,,
The Boys of St. Vincent,0.0,0.0,0.86539,1992-12-06,,,
Boomerang,40000000.0,70100000.0,6.506983,1992-06-30,,,
Chungking Express,0.0,0.0,6.778979,1994-07-14,,,
The Star Maker,0.0,0.0,1.702639,1995-09-21,,,
Flirting with Disaster,7000000.0,14702438.0,5.579088,1996-03-22,,,
The Neverending Story III: Escape from Fantasia,17000000.0,0.0,6.252377,1994-10-26,,,
The Silences of the Palace,0.0,0.0,0.406754,1994-09-30,,,
Jupiter's Wife,0.0,0.0,0.001178,1995-01-01,,,
Pie in the Sky,0.0,0.0,0.699066,1996-02-09,,,
Angela,0.0,0.0,2.197439,1995-01-01,,,
Frankie Starlight,0.0,0.0,0.637554,1995-11-22,,,
Jade,50000000.0,9851610.0,11.418917,1995-10-13,,,
Nueba Yol,0.0,0.0,0.291021,1995-08-16,,,
Sonic Outlaws,0.0,0.0,0.001838,1995-08-01,,,
Down Periscope,0.0,0.0,5.184977,1996-03-01,,,
From the Journals of Jean Seberg,0.0,0.0,0.276401,1995-09-08,,,
Man of the Year,0.0,209935.0,0.540436,1995-09-15,,,
The Neon Bible,0.0,0.0,0.370342,1995-08-23,,,
Target,0.0,0.0,0.001205,1995-08-01,3.9,93.0,
Up Close & Personal,60000000.0,0.0,3.402749,1996-03-01,,,
The Birdcage,31000000.0,185260553.0,6.49968,1996-03-08,,,
Virgin Mary,0.0,0.0,0.918504,1995-10-12,,,
The Brothers McMullen,0.0,0.0,2.039196,1995-08-09,,,
Bad Boys,19000000.0,141407024.0,9.262184,1995-04-07,,,
The Amazing Panda Adventure,0.0,0.0,2.375865,1995-08-25,,,
